#{"t_start": 1734543541.0856562, "env_id": "ContinuousCartPole-v0"}
r,l,t
37.0,37,9.039836
61.0,61,9.050312
51.0,51,9.059622
106.0,106,9.530641
77.0,77,9.544791
101.0,101,9.562301
114.0,114,9.582844
172.0,172,9.61241
44.0,44,9.620314
79.0,79,9.634189
45.0,45,9.642998
75.0,75,9.65683
96.0,96,9.674436
107.0,107,9.694072
92.0,92,9.712209
62.0,62,9.723733
60.0,60,9.735677
101.0,101,9.754362
254.0,254,9.801754
153.0,153,9.828728
57.0,57,9.839083
111.0,111,9.858988
42.0,42,9.866191
108.0,108,9.885532
48.0,48,10.343062
174.0,174,10.373669
177.0,177,10.404332
118.0,118,10.425653
84.0,84,10.440345
201.0,201,10.475534
420.0,420,10.550163
103.0,103,10.56845
182.0,182,10.600561
127.0,127,10.623553
96.0,96,10.640569
138.0,138,10.665699
216.0,216,11.157303
77.0,77,11.17088
75.0,75,11.184074
295.0,295,11.23679
153.0,153,11.264629
253.0,253,11.309633
250.0,250,11.353809
90.0,90,11.370362
208.0,208,11.407192
75.0,75,11.420203
125.0,125,11.442508
300.0,300,11.496614
300.0,300,12.0067
263.0,263,12.053065
485.0,485,12.139007
69.0,69,12.151655
380.0,380,12.219424
240.0,240,12.261717
285.0,285,12.312434
290.0,290,12.811786
284.0,284,12.862478
321.0,321,12.919532
304.0,304,12.974674
245.0,245,13.017597
175.0,175,13.049485
407.0,407,13.123221
96.0,96,13.140341
412.0,412,13.660315
420.0,420,13.735709
298.0,298,13.789468
262.0,262,13.835657
371.0,371,13.901517
394.0,394,14.512326
492.0,492,14.604445
336.0,336,14.666413
500.0,500,14.756064
255.0,255,14.803057
446.0,446,14.882414
410.0,410,15.411637
434.0,434,15.489357
398.0,398,15.560099
379.0,379,15.629713
500.0,500,16.209637
459.0,459,16.297652
479.0,479,16.388494
500.0,500,16.483419
500.0,500,16.580404
498.0,498,17.160722
270.0,270,17.211486
496.0,496,17.304064
470.0,470,17.392449
460.0,460,17.939694
500.0,500,18.02996
409.0,409,18.104603
500.0,500,18.195292
500.0,500,18.284348
500.0,500,18.820901
432.0,432,18.898826
447.0,447,18.978602
500.0,500,19.068845
500.0,500,19.647148
500.0,500,19.736125
500.0,500,19.825241
500.0,500,19.919593
390.0,390,20.438865
500.0,500,20.528884
316.0,316,20.583798
500.0,500,20.672443
500.0,500,20.761932
500.0,500,21.302335
500.0,500,21.390537
500.0,500,21.479031
500.0,500,21.568138
500.0,500,22.101266
500.0,500,22.1916
500.0,500,22.279563
500.0,500,22.367705
500.0,500,22.984149
500.0,500,23.078194
500.0,500,23.167722
500.0,500,23.254698
500.0,500,23.870501
500.0,500,23.961036
500.0,500,24.052953
455.0,455,24.134996
500.0,500,24.672626
500.0,500,24.762972
500.0,500,24.854085
500.0,500,24.944273
500.0,500,25.481269
500.0,500,25.570557
500.0,500,25.660723
500.0,500,25.751216
500.0,500,26.294125
500.0,500,26.383819
500.0,500,26.473338
500.0,500,26.56266
500.0,500,27.09062
500.0,500,27.180726
500.0,500,27.270684
500.0,500,27.361584
500.0,500,27.45395
500.0,500,28.010532
500.0,500,28.10059
500.0,500,28.190778
500.0,500,28.281774
500.0,500,28.813933
500.0,500,28.903539
500.0,500,28.992842
500.0,500,29.083226
500.0,500,29.624028
500.0,500,29.714135
500.0,500,29.803473
500.0,500,29.891759
500.0,500,30.424407
500.0,500,30.511636
500.0,500,30.599717
500.0,500,30.687658
500.0,500,31.224387
500.0,500,31.313516
500.0,500,31.402295
500.0,500,31.492174
500.0,500,32.026048
500.0,500,32.112701
500.0,500,32.200688
500.0,500,32.289171
500.0,500,32.819781
500.0,500,32.907948
500.0,500,32.997243
500.0,500,33.086225
500.0,500,33.62416
500.0,500,33.71319
500.0,500,33.803227
223.0,223,33.843495
500.0,500,33.933054
500.0,500,34.466305
500.0,500,34.556045
183.0,183,34.588844
373.0,373,34.656485
500.0,500,34.746398
500.0,500,35.278898
183.0,183,35.312082
500.0,500,35.400313
500.0,500,35.489535
500.0,500,35.57923
500.0,500,36.113032
500.0,500,36.203125
500.0,500,36.293377
500.0,500,36.383232
500.0,500,36.92166
500.0,500,37.012187
500.0,500,37.102455
500.0,500,37.191251
500.0,500,37.726791
500.0,500,37.817516
279.0,279,37.867872
500.0,500,37.957416
500.0,500,38.505786
500.0,500,38.595521
500.0,500,38.688814
500.0,500,38.781095
500.0,500,39.407445
500.0,500,39.49663
500.0,500,39.584126
500.0,500,39.674394
242.0,242,39.71923
500.0,500,40.258778
446.0,446,40.337766
408.0,408,40.408975
500.0,500,40.496669
136.0,136,40.520387
500.0,500,41.084471
500.0,500,41.232443
500.0,500,41.32531
107.0,107,41.345192
500.0,500,41.438924
500.0,500,41.992696
500.0,500,42.085894
500.0,500,42.176833
500.0,500,42.264732
500.0,500,42.796013
332.0,332,42.85635
